generated_at,reservoir,target,model_algorithm,horizon_days,base_date,forecast_date,current_level,predicted_level,predicted_change,forecast_std,predicted_level_p05,predicted_level_p95
2026-02-21T22:47:15.225205+00:00,gatun,gatun_level,linear_regression,1,2026-02-20,2026-02-21,88.64255729166666,88.54619226263269,-0.0963650290339757,0.08616853551796554,88.40444502170563,88.68793950355975
2026-02-21T22:47:15.228663+00:00,gatun,gatun_level,linear_regression,7,2026-02-20,2026-02-27,88.64255729166666,88.38923203255685,-0.25332525910981474,0.2768577073290602,87.93380110400054,88.84466296111316
2026-02-21T22:47:15.230905+00:00,gatun,gatun_level,linear_regression,14,2026-02-20,2026-03-06,88.64255729166666,88.15297496809671,-0.48958232356994813,0.44722731746367395,87.41728603086896,88.88866390532446
2026-02-21T22:47:15.233220+00:00,gatun,gatun_level,linear_regression,30,2026-02-20,2026-03-22,88.64255729166666,87.35251930983233,-1.290037981834331,0.7955968769655974,86.04376244722393,88.66127617244074
